id,triple,sequence,neighbor,skip,double
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,1
3,1,0,0,0,0
4,1,0,0,0,0
5,0,0,0,0,0
6,0,0,1,0,0
7,0,0,0,0,1
8,1,0,0,0,0
9,1,0,1,0,0
10,0,0,0,0,1
11,0,0,0,0,1
12,0,0,0,0,2
13,1,0,0,0,1
14,1,0,0,0,1
15,1,0,0,0,0
16,1,0,0,0,0
17,1,0,0,0,1
18,2,0,0,0,0
20,1,0,0,0,0
21,1,0,1,0,0
22,1,0,0,0,1
25,0,0,0,0,0
26,0,0,0,1,0
27,0,0,0,0,1
28,1,0,0,0,0
29,1,0,0,1,0
30,0,0,1,0,0
31,0,1,0,0,0
32,0,1,0,0,0
33,1,0,1,0,0
34,1,1,0,0,0
35,0,0,0,0,1
36,0,1,0,0,0
37,0,1,1,0,0
38,1,0,0,0,1
40,1,0,0,0,0
41,1,0,0,1,0
42,1,0,0,0,1
45,1,0,1,0,0
46,1,1,0,0,0
50,0,0,0,0,1
51,0,0,0,0,1
52,0,0,0,0,2
53,1,0,0,0,1
54,1,0,0,0,1
55,0,0,0,0,1
56,0,1,0,0,0
57,0,1,0,1,0
58,1,0,0,0,1
60,0,0,0,0,2
61,0,1,1,0,0
62,0,2,0,0,0
65,1,0,0,0,1
66,1,0,0,0,1
70,1,0,0,0,1
75,1,0,0,0,0
76,1,0,0,0,0
77,1,0,0,0,1
78,2,0,0,0,0
80,1,0,0,0,0
81,1,0,1,0,0
82,1,0,0,0,1
85,1,0,0,0,1
86,1,0,0,0,1
90,2,0,0,0,0
100,1,0,0,0,0
101,1,0,0,1,0
102,1,0,0,0,1
105,1,0,1,0,0
106,1,1,0,0,0
110,1,0,0,0,1
125,0,0,0,0,0
126,0,0,0,0,0
127,0,0,0,0,1
128,1,0,0,0,0
129,1,0,0,0,0
130,0,0,0,1,0
131,0,0,0,1,0
132,0,0,0,1,1
133,1,0,0,1,0
134,1,0,0,1,0
135,0,0,0,0,1
136,0,0,1,1,0
137,0,0,0,0,2
138,1,0,0,0,1
140,1,0,0,0,0
141,1,0,0,0,0
142,1,0,0,0,1
145,1,0,0,1,0
146,1,0,0,1,0
150,0,0,1,0,0
151,0,0,0,1,0
152,0,0,1,0,1
153,1,0,1,0,0
154,1,0,0,1,0
155,0,1,0,0,0
156,0,1,0,0,0
157,0,1,0,0,0
158,1,1,0,0,0
160,0,1,0,0,0
161,0,1,0,1,0
162,0,1,0,1,0
165,1,0,1,0,0
166,1,0,0,1,0
170,1,1,0,0,0
175,0,0,0,0,1
176,0,0,1,1,0
177,0,0,0,0,2
178,1,0,0,0,1
180,0,1,0,0,0
181,0,1,1,0,0
182,0,1,0,1,0
185,0,1,1,0,0
186,0,2,0,0,0
190,1,0,0,0,1
200,1,0,0,0,0
201,1,0,0,0,0
202,1,0,0,0,1
205,1,0,0,1,0
206,1,0,0,1,0
210,1,0,0,0,1
225,1,0,1,0,0
226,1,0,0,1,0
230,1,1,0,0,0
250,0,0,0,0,1
251,0,0,0,0,1
252,0,0,0,0,2
253,1,0,0,0,1
254,1,0,0,0,1
255,0,0,0,0,1
256,0,0,1,0,1
257,0,0,0,0,2
258,1,0,0,0,1
260,0,0,0,0,2
261,0,0,0,0,2
262,0,0,0,0,3
265,1,0,0,0,1
266,1,0,0,0,1
270,1,0,0,0,1
275,0,0,0,0,1
276,0,0,0,1,1
277,0,0,0,0,2
278,1,0,0,0,1
280,0,1,0,0,0
281,0,1,0,0,1
282,0,1,0,0,1
285,0,1,0,1,0
286,0,1,0,0,1
290,1,0,0,0,1
300,0,0,0,0,2
301,0,0,0,0,2
302,0,0,0,0,3
305,0,1,1,0,0
306,0,1,0,0,1
310,0,2,0,0,0
325,1,0,0,0,1
326,1,0,0,0,1
330,1,0,0,0,1
350,1,0,0,0,1
375,1,0,0,0,0
376,1,0,0,0,0
377,1,0,0,0,1
378,2,0,0,0,0
380,1,0,0,0,0
381,1,0,1,0,0
382,1,0,0,0,1
385,1,0,0,0,1
386,1,0,0,0,1
390,2,0,0,0,0
400,1,0,0,0,0
401,1,0,0,1,0
402,1,0,0,0,1
405,1,0,1,0,0
406,1,1,0,0,0
410,1,0,0,0,1
425,1,0,0,0,1
426,1,0,0,0,1
430,1,0,0,0,1
450,2,0,0,0,0
500,1,0,0,0,0
501,1,0,0,0,0
502,1,0,0,0,1
505,1,0,0,1,0
506,1,0,0,1,0
510,1,0,0,0,1
525,1,0,1,0,0
526,1,0,0,1,0
530,1,1,0,0,0
550,1,0,0,0,1
625,0,0,0,0,0
626,0,0,0,0,0
627,0,0,0,0,1
628,1,0,0,0,0
629,1,0,0,0,0
630,0,0,0,0,0
631,0,0,1,0,0
632,0,0,0,0,1
633,1,0,0,0,0
634,1,0,1,0,0
635,0,0,0,0,1
636,0,0,0,0,1
637,0,0,0,0,2
638,1,0,0,0,1
640,1,0,0,0,0
641,1,0,0,0,0
642,1,0,0,0,1
645,1,0,0,0,0
646,1,0,1,0,0
650,0,0,0,1,0
651,0,0,0,1,0
652,0,0,0,1,1
653,1,0,0,1,0
654,1,0,0,1,0
655,0,0,0,1,0
656,0,1,0,0,0
657,0,1,0,0,0
658,1,0,0,1,0
660,0,0,0,1,1
661,0,1,0,0,0
662,0,1,1,0,0
665,1,0,0,1,0
666,1,0,0,1,0
670,1,0,0,1,0
675,0,0,0,0,1
676,0,0,0,2,0
677,0,0,0,0,2
678,1,0,0,0,1
680,0,0,1,1,0
681,0,1,0,1,0
682,0,1,0,1,0
685,0,0,0,0,2
686,0,1,0,1,0
690,1,0,0,0,1
700,1,0,0,0,0
701,1,0,0,0,0
702,1,0,0,0,1
705,1,0,0,0,0
706,1,0,1,0,0
710,1,0,0,0,1
725,1,0,0,1,0
726,1,0,0,1,0
730,1,0,0,1,0
750,0,0,1,0,0
751,0,0,1,0,0
752,0,0,1,0,1
753,1,0,1,0,0
754,1,0,1,0,0
755,0,0,0,1,0
756,0,0,2,0,0
757,0,0,0,1,1
758,1,0,0,1,0
760,0,0,1,0,1
761,0,0,1,0,1
762,0,0,1,0,2
765,1,0,1,0,0
766,1,0,1,0,0
770,1,0,0,1,0
775,0,1,0,0,0
776,0,1,0,0,0
777,0,1,0,0,1
778,1,1,0,0,0
780,0,1,0,0,0
781,0,1,1,0,0
782,0,1,1,0,0
785,0,1,0,0,0
786,0,1,0,1,0
790,1,1,0,0,0
800,0,1,0,0,0
801,0,1,0,1,0
802,0,1,0,0,1
805,0,1,0,1,0
806,0,2,0,0,0
810,0,1,0,1,0
825,1,0,1,0,0
826,1,0,1,0,0
830,1,0,0,1,0
850,1,1,0,0,0
875,0,0,0,0,1
876,0,0,0,0,1
877,0,0,0,0,2
878,1,0,0,0,1
880,0,0,1,1,0
881,0,0,1,0,1
882,0,0,1,1,1
885,0,0,0,0,2
886,0,0,2,1,0
890,1,0,0,0,1
900,0,1,0,0,0
901,0,1,0,0,0
902,0,1,0,0,1
905,0,1,1,0,0
906,0,1,0,0,1
910,0,1,0,1,0
925,0,1,1,0,0
926,0,1,0,1,0
930,0,2,0,0,0
950,1,0,0,0,1
1000,1,0,0,0,0
1001,1,0,0,0,0
1002,1,0,0,0,1
1005,1,0,0,0,0
1006,1,0,1,0,0
1010,1,0,0,0,1
1025,1,0,0,1,0
1026,1,0,0,1,0
1030,1,0,0,1,0
1050,1,0,0,0,1
1125,1,0,1,0,0
1126,1,0,1,0,0
1130,1,0,0,1,0
1150,1,1,0,0,0
1250,0,0,0,0,1
1251,0,0,0,0,1
1252,0,0,0,0,2
1253,1,0,0,0,1
1254,1,0,0,0,1
1255,0,0,0,0,1
1256,0,0,1,0,1
1257,0,0,0,0,2
1258,1,0,0,0,1
1260,0,0,0,0,2
1261,0,0,0,0,2
1262,0,0,0,0,3
1265,1,0,0,0,1
1266,1,0,0,0,1
1270,1,0,0,0,1
1275,0,0,0,0,1
1276,0,0,0,1,1
1277,0,0,0,0,2
1278,1,0,0,0,1
1280,0,0,1,0,1
1281,0,1,0,0,1
1282,0,1,0,0,1
1285,0,0,0,0,2
1286,0,1,0,0,1
1290,1,0,0,0,1
1300,0,0,0,0,2
1301,0,0,0,0,2
1302,0,0,0,0,3
1305,0,0,0,0,2
1306,0,1,0,0,1
1310,0,0,0,0,3
1325,1,0,0,0,1
1326,1,0,0,0,1
1330,1,0,0,0,1
1350,1,0,0,0,1
1375,0,0,0,0,1
1376,0,0,0,0,1
1377,0,0,0,0,2
1378,1,0,0,0,1
1380,0,0,0,1,1
1381,0,0,0,1,1
1382,0,0,0,1,2
1385,0,0,0,0,2
1386,0,0,1,1,1
1390,1,0,0,0,1
1400,0,1,0,0,0
1401,0,1,0,0,0
1402,0,1,0,0,1
1405,0,1,0,0,1
1406,0,1,0,0,1
1410,0,1,0,0,1
1425,0,1,0,1,0
1426,0,1,0,1,0
1430,0,1,0,0,1
1450,1,0,0,0,1
1500,0,0,0,0,2
1501,0,0,0,0,2
1502,0,0,0,0,3
1505,0,0,0,0,2
1506,0,0,1,0,2
1510,0,0,0,0,3
1525,0,1,1,0,0
