from,to
2,0
3,0
4,1
6,0
7,5
8,5
9,6
10,0
11,1
12,10
13,10
14,11
15,0
16,1
17,2
18,15
20,5
21,6
22,7
26,0
27,25
28,25
29,26
30,0
31,0
32,1
33,30
34,31
35,25
36,5
37,6
38,35
40,25
41,26
42,27
45,30
46,31
50,0
51,1
52,50
53,50
54,51
55,5
56,25
57,26
58,55
60,50
61,30
62,31
65,50
66,51
70,55
75,0
76,1
77,2
78,75
80,5
81,6
82,7
85,10
86,11
90,75
100,25
101,26
102,27
105,30
106,31
110,35
127,125
128,125
129,126
130,0
131,1
132,130
133,130
134,131
135,125
136,6
137,135
138,135
140,125
141,126
142,127
145,130
146,131
150,0
151,125
152,150
153,150
154,151
155,0
156,125
157,126
158,155
160,5
161,130
162,131
165,150
166,151
170,155
175,125
176,150
177,175
178,175
180,25
181,150
182,151
185,30
186,155
190,175
200,125
201,126
202,127
205,130
206,131
210,135
225,150
226,151
230,155
250,0
251,1
252,250
253,250
254,251
255,5
256,6
257,255
258,255
260,250
261,251
262,260
265,250
266,251
270,255
275,25
276,26
277,275
278,275
280,125
281,250
282,251
285,130
286,255
290,275
300,250
301,251
302,300
305,150
306,275
310,155
325,250
326,251
330,255
350,275
375,0
376,1
377,2
378,375
380,5
381,6
382,7
385,10
386,11
390,375
400,25
401,26
402,27
405,30
406,31
410,35
425,50
426,51
430,55
450,375
500,125
501,126
502,127
505,130
506,131
510,135
525,150
526,151
530,155
550,175
627,625
628,625
629,626
631,625
632,630
633,630
634,631
635,625
636,626
637,635
638,635
640,625
641,626
642,627
645,630
646,631
650,0
651,625
652,650
653,650
654,651
655,5
656,625
657,626
658,655
660,650
661,630
662,631
665,650
666,651
670,655
675,625
676,650
677,675
678,675
680,30
681,650
682,651
685,675
686,655
690,675
700,625
701,626
702,627
705,630
706,631
710,635
725,650
726,651
730,655
750,0
751,1
752,750
753,750
754,751
755,625
756,750
757,755
758,755
760,750
761,751
762,760
765,750
766,751
770,755
775,0
776,1
777,2
778,775
780,625
781,750
782,751
785,630
786,755
790,775
800,25
801,26
802,27
805,650
806,775
810,655
825,750
826,751
830,755
850,775
875,625
876,626
877,875
878,875
880,750
881,631
882,880
885,875
886,756
890,875
900,125
901,126
902,127
905,750
906,875
910,755
925,150
926,151
930,775
950,875
1000,625
1001,626
1002,627
1005,630
1006,631
1010,635
1025,650
1026,651
1030,655
1050,675
1125,750
1126,751
1130,755
1150,775
1250,0
1251,1
1252,1250
1253,1250
1254,1251
1255,5
1256,6
1257,1255
1258,1255
1260,1250
1261,1251
1262,1260
1265,1250
1266,1251
1270,1255
1275,25
1276,26
1277,1275
1278,1275
1280,30
1281,1250
1282,1251
1285,1275
1286,1255
1290,1275
1300,1250
1301,1251
1302,1300
1305,1255
1306,1275
1310,1300
1325,1250
1326,1251
1330,1255
1350,1275
1375,125
1376,126
1377,1375
1378,1375
1380,130
1381,131
1382,1380
1385,1375
1386,136
1390,1375
1400,625
1401,626
1402,627
1405,1250
1406,1375
1410,1255
1425,650
1426,651
1430,1275
1450,1375
1500,1250
1501,1251
1502,1500
1505,1255
1506,1256
1510,1500
1525,750
1526,751
1530,1375
1550,775
1625,1250
1626,1251
1630,1255
1650,1275
1750,1375
1875,0
1876,1
1877,2
1878,1875
1880,5
1881,6
1882,7
1885,10
1886,11
1890,1875
1900,25
1901,26
1902,27
1905,30
1906,31
1910,35
1925,50
1926,51
1930,55
1950,1875
2000,125
2001,126
2002,127
2005,130
2006,131
2010,135
2025,150
2026,151
2030,155
2050,175
2125,250
2126,251
2130,255
2150,275
2250,1875
2500,625
2501,626
2502,627
2505,630
2506,631
2510,635
2525,650
2526,651
2530,655
2550,675
2625,750
2626,751
2630,755
2650,775
2750,875
3127,3125
3128,3125
3129,3126
3131,3125
3132,3130
3133,3130
3134,3131
3135,3125
3136,3126
3137,3135
3138,3135
3140,3125
3141,3126
3142,3127
3145,3130
3146,3131
3151,3125
3152,3150
3153,3150
3154,3151
3155,3125
3156,3125
3157,3126
3158,3155
3160,3150
3161,3130
3162,3131
3165,3150
3166,3151
3170,3155
3175,3125
3176,3126
3177,3175
3178,3175
3180,3130
3181,3150
3182,3151
3185,3175
3186,3155
3190,3175
3200,3125
3201,3126
3202,3127
3205,3130
3206,3131
3210,3135
3225,3150
3226,3151
3230,3155
3250,0
3251,1
3252,3250
3253,3250
3254,3251
3255,3125
3256,6
3257,3255
3258,3255
3260,3250
3261,3251
3262,3260
3265,3250
3266,3251
3270,3255
3275,25
3276,3250
3277,3275
3278,3275
3280,3125
3281,3250
3282,3251
3285,3130
3286,3255
3290,3275
3300,3250
3301,3251
3302,3300
3305,3150
3306,3275
3310,3155
3325,3250
3326,3251
3330,3255
3350,3275
3375,3125
3376,3126
3377,3375
3378,3375
3380,3250
3381,3131
3382,3380
3385,3375
3386,3256
3390,3375
3400,150
3401,3151
3402,3400
3405,3250
3406,3375
3410,3255
3425,3375
3426,3400
3430,3275
3450,3375
3500,3125
3501,3126
3502,3127
3505,3130
3506,3131
3510,3135
3525,3150
3526,3151
3530,3155
3550,3175
3625,3250
3626,3251
3630,3255
3650,3275
3750,0
3751,1
3752,3750
3753,3750
3754,3751
3755,5
3756,3750
3757,3755
3758,3755
3760,3750
3761,3751
3762,3760
3765,3750
3766,3751
3770,3755
3775,3125
3776,3750
3777,3775
3778,3775
3780,3750
3781,3750
3782,3751
3785,3775
3786,3755
3790,3775
3800,3750
3801,3751
3802,3800
3805,3755
3806,3775
3810,3800
3825,3750
3826,3751
3830,3755
3850,3775
3875,0
3876,1
3877,2
3878,3875
3880,5
3881,6
3882,7
3885,10
3886,11
3890,3875
3900,3125
3901,3126
3902,3127
3905,3750
3906,3875
3910,3755
3925,3150
3926,3151
3930,3775
3950,3875
4000,125
4001,126
4002,127
4005,130
4006,131
4010,135
4025,3250
4026,3251
4030,3875
4050,3275
4125,3750
4126,3751
4130,3755
4150,3775
4250,3875
4375,3125
4376,3126
4377,4375
4378,4375
4380,3130
4381,3131
4382,4380
4385,4375
4386,4376
4390,4375
4400,3750
4401,3151
4402,4400
4405,3155
4406,4375
4410,4400
4425,4375
4426,4400
4430,3780
4450,4375
4500,625
4501,626
4502,627
4505,630
4506,631
4510,635
4525,3750
4526,3751
4530,4375
4550,3775
4625,750
4626,751
4630,755
4650,3875
4750,4375
5000,3125
5001,3126
5002,3127
5005,3130
5006,3131
5010,3135
5025,3150
5026,3151
5030,3155
5050,3175
5125,3250
5126,3251
5130,3255
5150,3275
5250,3375
5625,3750
5626,3751
5630,3755
5650,3775
5750,3875
6250,0
6251,1
6252,6250
6253,6250
6254,6251
6255,5
6256,6
6257,6255
6258,6255
6260,6250
6261,6251
6262,6260
6265,6250
6266,6251
6270,6255
6275,25
6276,26
6277,6275
6278,6275
6280,30
6281,6250
6282,6251
6285,6275
6286,6255
6290,6275
6300,6250
6301,6251
6302,6300
6305,6255
6306,6275
6310,6300
6325,6250
6326,6251
6330,6255
6350,6275
6375,125
6376,126
6377,6375
6378,6375
6380,130
6381,131
6382,6380
6385,6375
6386,136
6390,6375
6400,150
6401,151
6402,6400
6405,6250
6406,6375
6410,6255
6425,6375
6426,176
6430,6275
6450,6375
6500,6250
6501,6251
6502,6500
6505,6255
6506,6256
6510,6500
6525,6275
6526,6276
6530,6375
6550,6500
6625,6250
6626,6251
6630,6255
6650,6275
6750,6375
6875,625
6876,626
6877,6875
6878,6875
6880,630
6881,631
6882,6880
6885,6875
6886,6876
6890,6875
6900,650
6901,651
6902,6900
6905,655
6906,6875
6910,6900
6925,6875
6926,676
6930,680
6950,6875
7000,3125
7001,3126
7002,3127
7005,3130
7006,3131
7010,3135
7025,6250
7026,6251
7030,6875
7050,6275
7125,3250
7126,3251
7130,3255
7150,6375
7250,6875
7500,6250
7501,6251
7502,7500
7505,6255
7506,6256
7510,7500
7525,6275
7526,6276
7530,6280
7550,7500
7625,3750
7626,3751
7630,3755
7650,6875
7750,3875
8125,6250
8126,6251
8130,6255
8150,6275
8250,6375
8750,6875
9375,0
9376,1
9377,2
9378,9375
9380,5
9381,6
9382,7
9385,10
9386,11
9390,9375
9400,25
9401,26
9402,27
9405,30
9406,31
9410,35
9425,50
9426,51
9430,55
9450,9375
9500,125
9501,126
9502,127
9505,130
9506,131
9510,135
9525,150
9526,151
9530,155
9550,175
9625,250
9626,251
9630,255
9650,275
9750,9375
10000,625
10001,626
10002,627
10005,630
10006,631
10010,635
10025,650
10026,651
10030,655
10050,675
10125,750
10126,751
10130,755
10150,775
10250,875
10625,1250
10626,1251
10630,1255
10650,1275
10750,1375
11250,9375
12500,3125
12501,3126
12502,3127
12505,3130
12506,3131
12510,3135
12525,3150
12526,3151
12530,3155
12550,3175
12625,3250
12626,3251
12630,3255
12650,3275
12750,3375
13125,3750
13126,3751
13130,3755
13150,3775
13250,3875
13750,4375
15627,15625
15628,15625
15629,15626
15631,15625
15632,15630
15633,15630
15634,15631
15635,15625
15636,15626
15637,15635
15638,15635
15640,15625
15641,15626
15642,15627
15645,15630
15646,15631
15651,15625
15652,15650
15653,15650
15654,15651
15655,15625
15656,15625
15657,15626
15658,15655
15660,15650
15661,15630
15662,15631
15665,15650
15666,15651
15670,15655
15675,15625
15676,15626
15677,15675
15678,15675
15680,15630
15681,15650
15682,15651
15685,15675
15686,15655
15690,15675
15700,15625
15701,15626
15702,15627
15705,15630
15706,15631
15710,15635
15725,15650
15726,15651
15730,15655
15752,15750
15753,15750
15754,15751
15755,15625
15756,15626
15757,15755
15758,15755
15760,15750
15761,15631
15762,15760
15765,15750
15766,15751
15770,15755
15775,15625
15776,15750
15777,15775
15778,15775
15780,15625
15781,15750
15782,15751
15785,15630
15786,15755
15790,15775
15800,15750
15801,15775
15802,15800
15805,15650
15806,15775
15810,15655
15825,15750
15826,15751
15830,15755
15850,15775
15875,15625
15876,15626
15877,15875
15878,15875
15880,15630
15881,15631
15882,15880
15885,15875
15886,15876
15890,15875
15900,15650
15901,15651
15902,15900
15905,15750
15906,15875
15910,15755
15925,15875
15926,15876
15930,15775
15950,15875
16000,15625
16001,15626
16002,15627
16005,15630
16006,15631
16010,15635
16025,15650
16026,15651
16030,15655
16050,15675
16125,15750
16126,15751
16130,15755
16150,15775
16250,0
16251,1
16252,16250
16253,16250
16254,16251
16255,5
16256,6
16257,16255
16258,16255
16260,16250
16261,16251
16262,16260
16265,16250
16266,16251
16270,16255
16275,15625
16276,16250
16277,16275
16278,16275
16280,30
16281,16250
16282,16251
16285,16275
16286,16255
16290,16275
16300,16250
16301,16251
16302,16300
16305,16255
16306,16275
16310,16300
16325,16250
16326,16251
16330,16255
16350,16275
16375,125
16376,126
16377,16375
16378,16375
16380,16250
16381,16251
16382,16380
16385,16375
16386,16256
16390,16375
16400,15625
16401,15626
16402,15627
16405,16250
16406,16375
16410,16255
16425,15650
16426,15651
16430,16275
16450,16375
16500,16250
16501,16251
16502,16500
16505,16255
16506,16256
16510,16500
16525,15750
16526,15751
16530,16375
16550,15775
16625,16250
16626,16251
16630,16255
16650,16275
16750,16375
16875,15625
16876,15626
16877,16875
16878,16875
16880,15630
16881,15631
16882,16880
16885,16875
16886,16876
16890,16875
16900,16250
16901,15651
16902,16900
16905,15655
16906,16875
16910,16900
16925,16875
16926,16900
16930,16280
16950,16875
17000,750
17001,751
17002,17000
17005,15755
17006,756
17010,17000
17025,16250
17026,16251
17030,16875
17050,16275
17125,16875
17126,16876
17130,17000
17150,16375
17250,16875
17500,15625
17501,15626
17502,15627
17505,15630
17506,15631
17510,15635
17525,15650
17526,15651
17530,15655
17550,15675
17625,15750
17626,15751
17630,15755
17650,15775
17750,15875
18125,16250
18126,16251
18130,16255
18150,16275
18250,16375
18750,0
18751,1
18752,18750
18753,18750
18754,18751
18755,5
18756,18750
18757,18755
18758,18755
18760,18750
18761,18751
18762,18760
18765,18750
18766,18751
18770,18755
18775,25
18776,18750
18777,18775
18778,18775
18780,18750
18781,18750
18782,18751
18785,18775
18786,18755
18790,18775
18800,18750
18801,18751
18802,18800
18805,18755
18806,18775
18810,18800
18825,18750
18826,18751
18830,18755
18850,18775
18875,15625
18876,15626
18877,18875
18878,18875
18880,18750
18881,18751
18882,18880
18885,18875
18886,18756
18890,18875
18900,18750
18901,18875
18902,18900
18905,18750
18906,18875
18910,18755
18925,18875
18926,18900
18930,18775
18950,18875
19000,18750
19001,18751
19002,19000
19005,18755
19006,18756
19010,19000
19025,18775
19026,18776
19030,18875
19050,19000
19125,18750
19126,18751
19130,18755
19150,18775
19250,18875
19375,0
19376,1
19377,2
19378,19375
19380,5
19381,6
19382,7
19385,10
19386,11
19390,19375
19400,25
19401,26
19402,27
19405,30
19406,19375
19410,35
19425,50
19426,51
19430,55
19450,19375
19500,15625
19501,15626
19502,15627
19505,15630
19506,15631
19510,15635
19525,18750
19526,18751
19530,19375
19550,18775
19625,15750
19626,15751
19630,15755
19650,18875
19750,19375
20000,625
20001,626
20002,627
20005,630
20006,631
20010,635
20025,650
20026,651
20030,655
20050,675
20125,16250
20126,16251
20130,16255
20150,19375
20250,16375
20625,18750
20626,18751
20630,18755
20650,18775
20750,18875
21250,19375
21875,15625
21876,15626
21877,21875
21878,21875
21880,15630
21881,15631
21882,21880
21885,21875
21886,21876
21890,21875
21900,15650
21901,15651
21902,21900
21905,15655
21906,21875
21910,21900
21925,21875
21926,21876
21930,21880
21950,21875
22000,18750
22001,18751
22002,22000
22005,15755
22006,18756
22010,22000
22025,15775
22026,22000
22030,21875
22050,22000
22125,21875
22126,21876
22130,22000
22150,18900
22250,21875
22500,3125
22501,3126
22502,3127
22505,3130
22506,3131
22510,3135
22525,3150
22526,3151
22530,3155
22550,3175
22625,18750
22626,18751
22630,18755
22650,21875
22750,18875
23125,3750
23126,3751
23130,3755
23150,3775
23250,19375
23750,21875
25000,15625
25001,15626
25002,15627
25005,15630
25006,15631
25010,15635
25025,15650
25026,15651
25030,15655
25050,15675
25125,15750
25126,15751
25130,15755
25150,15775
25250,15875
25625,16250
25626,16251
25630,16255
25650,16275
25750,16375
26250,16875
28125,18750
28126,18751
28130,18755
28150,18775
28250,18875
28750,19375
31250,0
31251,1
31252,31250
31253,31250
31254,31251
31255,5
31256,6
31257,31255
31258,31255
31260,31250
31261,31251
31262,31260
31265,31250
31266,31251
31270,31255
31275,25
31276,26
31277,31275
31278,31275
31280,30
31281,31250
31282,31251
31285,31275
31286,31255
31290,31275
31300,31250
31301,31251
31302,31300
31305,31255
31306,31275
31310,31300
31325,31250
31326,31251
31330,31255
31350,31275
31375,125
31376,126
31377,31375
31378,31375
31380,130
31381,131
31382,31380
31385,31375
31386,136
31390,31375
31400,150
31401,151
31402,31400
31405,31250
31406,31375
31410,31255
31425,31375
31426,176
31430,31275
31450,31375
31500,31250
31501,31251
31502,31500
31505,31255
31506,31256
31510,31500
31525,31275
31526,31276
31530,31375
31550,31500
31625,31250
31626,31251
31630,31255
31650,31275
31750,31375
31875,625
31876,626
31877,31875
31878,31875
31880,630
31881,631
31882,31880
31885,31875
31886,31876
31890,31875
31900,650
31901,651
31902,31900
31905,655
31906,31875
31910,31900
31925,31875
31926,676
31930,680
31950,31875
32000,750
32001,751
32002,32000
32005,755
32006,756
32010,32000
32025,31250
32026,31251
32030,31875
32050,31275
32125,31875
32126,31876
32130,880
32150,31375
32250,31875
32500,31250
32501,31251
32502,32500
32505,31255
32506,31256
32510,32500
32525,31275
32526,31276
32530,31280
32550,32500
32625,31375
32626,31376
32630,31380
32650,31875
32750,32500
33125,31250
33126,31251
33130,31255
33150,31275
33250,31375
33750,31875
34375,3125
34376,3126
34377,34375
34378,34375
34380,3130
34381,3131
34382,34380
34385,34375
34386,34376
34390,34375
34400,3150
34401,3151
34402,34400
34405,3155
34406,34375
34410,34400
34425,34375
34426,34376
34430,34380
34450,34375
34500,3250
34501,3251
34502,34500
34505,3255
34506,3256
